"","country","ccode","year","Capacity","demo","lnpop","lngdp","polity2"
"3010","Senegal",433,2004,-0.583602070808411,1,9.35604286193848,7.24565505981445,0.800000011920929
"3011","Senegal",433,2005,-0.205358371138573,1,9.39124870300293,7.27239847183228,0.800000011920929
"3012","Senegal",433,2006,-0.230346873402596,1,9.42790508270264,7.26822280883789,0.800000011920929
"3013","Senegal",433,2007,-0.349548250436783,1,9.46495056152344,7.28619194030762,0.699999988079071
"3014","Senegal",433,2008,-0.446746557950974,1,9.50249862670898,7.27231407165527,0.699999988079071
"3015","Senegal",433,2009,-0.497914880514145,1,9.54055786132812,7.26333093643188,0.699999988079071
"3016","Benin",434,1960,-2.06281876564026,0,7.71333789825439,6.8855094909668,0.200000002980232
"3017","Benin",434,1961,-1.85183012485504,0,7.65302038192749,6.89467000961304,0.200000002980232
"3018","Benin",434,1962,-1.71992635726929,0,7.67925119400024,6.8373327255249,0.200000002980232
"3019","Benin",434,1963,-1.82455956935883,0,7.70661306381226,6.85856485366821,-0.100000001490116
"3020","Benin",434,1964,-1.81020653247833,0,7.74196767807007,6.9007306098938,-0.400000005960464
"3021","Benin",434,1965,-1.46257770061493,0,7.77401494979858,6.92755794525146,-0.699999988079071
"3022","Benin",434,1966,-1.52716612815857,0,7.8009819984436,6.93925380706787,-0.699999988079071
"3023","Benin",434,1967,-1.42870473861694,0,7.82763957977295,6.92362880706787,-0.699999988079071
"3024","Benin",434,1968,-1.44219648838043,0,7.85438108444214,6.93634271621704,-0.699999988079071
"3025","Benin",434,1969,-1.49458479881287,0,7.8811821937561,6.94022226333618,-0.699999988079071
"3026","Benin",434,1970,-1.62074744701385,0,7.90801954269409,6.93439722061157,-0.200000002980232
"3027","Benin",434,1971,-1.61773324012756,0,7.93487167358398,6.91373729705811,-0.200000002980232
"3028","Benin",434,1972,-1.48138010501862,0,7.96206712722778,6.97073030471802,-0.699999988079071
"3029","Benin",434,1973,-1.34890222549438,0,7.98922157287598,6.96696710586548,-0.699999988079071
"3030","Benin",434,1974,-1.37358927726746,0,8.01631832122803,6.8617115020752,-0.699999988079071
"3031","Benin",434,1975,-1.44621539115906,0,8.04334259033203,6.87626457214355,-0.699999988079071
"3032","Benin",434,1976,-1.19905722141266,0,8.07028102874756,6.89060926437378,-0.699999988079071
"3033","Benin",434,1977,-1.19015848636627,0,8.09773063659668,6.91770553588867,-0.699999988079071
"3034","Benin",434,1978,-1.07476055622101,0,8.12503910064697,6.9206714630127,-0.699999988079071
"3035","Benin",434,1979,-1.07490408420563,0,8.11372566223145,6.96885061264038,-0.699999988079071
"3036","Benin",434,1980,-0.910849690437317,0,8.1498908996582,7.02820158004761,-0.699999988079071
